Destination Country,Destination City/Port,"ORIGIN                       (Port of Loading)          3 Only -        Toronto, Montreal, Vancouver",DESTINATION                (Port of Unloading)   Various,Sailing Frequency,Transit Time (Days)             (Port to Port),Ocean Freight Charges PER CBM Rate (USD),(Minimim Ocean Freight Charges/ shipment)
BERMUDA,HAMILTON VIA MIAMI,Montreal,BDA,Weekly,4,440,440
BERMUDA,HAMILTON VIA MIAMI,Toronto,BDA,Weekly,4,440,440
BERMUDA,HAMILTON VIA MIAMI,Vancouver,BDA,Weekly,4,480,480
BOLIVIA,LA PAZ VIA MIAMI/ARICA,Montreal,LPB,Weekly,56,310,590
BOLIVIA,LA PAZ VIA MIAMI/ARICA,Toronto,LPB,Weekly,56,310,390
BOLIVIA,LA PAZ VIA MIAMI/ARICA,Vancouver,LPB,Weekly,56,340,690
BOSNIA - HERZEGOVINA,SARAJEVO VIA HAMBURG,Montreal,SAR,Weekly,23,354.5,624.5
BOSNIA - HERZEGOVINA,SARAJEVO VIA HAMBURG,Toronto,SAR,Weekly,23,359.5,629.5
BOSNIA - HERZEGOVINA,SARAJEVO VIA HAMBURG,Vancouver,SAR,Weekly,23,384.5,684.5
BOTSWANA,GABARONE VIA ANTWERP,Montreal,GBE,Weekly,64,464.5,609.5
BOTSWANA,GABARONE VIA ANTWERP,Toronto,GBE,Weekly,64,469.5,614.5
BOTSWANA,GABARONE VIA ANTWERP,Vancouver,GBE,Weekly,64,529.5,654.5
BRAZIL,CANOAS VIA MIAMI/SANTOS,Vancouver,QNS,Weekly,25,285,285
BRAZIL,CANOAS VIA NEW YORK/SANTOS,Montreal,QNS,Weekly,26,200,200
BRAZIL,CANOAS VIA NEW YORK/SANTOS,Toronto,QNS,Weekly,26,200,200
BRAZIL,CURITBA VIA MIAMI / SANTOS,Vancouver,CWB,Weekly,25,310,350
BRAZIL,CURITBA VIA NEW YORK /SANTOS,Montreal,CWB,Weekly,26,250,330
BRAZIL,CURITBA VIA NEW YORK /SANTOS,Toronto,CWB,Weekly,26,250,330
BRAZIL,ITAJAI VIA MIAMI/SANTOS,Vancouver,ITJ,Weekly,20,280,280
BRAZIL,ITAJAI VIA NEW YORK/SANTOS,Montreal,ITJ,Weekly,26,185,185
BRAZIL,ITAJAI VIA NEW YORK/SANTOS,Toronto,ITJ,Weekly,26,185,185
BRAZIL,MANAUS VIA MIAMI,Montreal,MAO,Weekly,19,255,255
BRAZIL,MANAUS VIA MIAMI,Toronto,MAO,Weekly,19,255,255
BRAZIL,MANAUS VIA MIAMI,Vancouver,MAO,Weekly,19,405,405
BRAZIL,PARANAGUA VIA MIAMI/SANTOS,Vancouver,PNG,Weekly,38,280,280
BRAZIL,PARANAGUA VIA NEW YORK/SANTOS,Montreal,PNG,Weekly,26,195,195
BRAZIL,PARANAGUA VIA NEW YORK/SANTOS,Toronto,PNG,Weekly,26,195,195
BRAZIL,RIO DE JANEIRO VIA MIAMI,Montreal,RIO,Weekly,27,175,175
BRAZIL,RIO DE JANEIRO VIA MIAMI,Toronto,RIO,Weekly,27,175,175
BRAZIL,RIO DE JANEIRO VIA MIAMI,Vancouver,RIO,Weekly,27,240,240
BRAZIL,SALVADOR DE BAHIA VIA MIAMI/SANTOS,Vancouver,SAB,Weekly,25,350,390
BRAZIL,SALVADOR DE BAHIA VIA NEW YORK/SANTOS,Montreal,SAB,Weekly,26,300,330
BRAZIL,SALVADOR DE BAHIA VIA NEW YORK/SANTOS,Toronto,SAB,Weekly,26,300,330
BRAZIL,SANTOS VIA MIAMI,Vancouver,SSZ,Weekly,20,200,200
BRAZIL,SANTOS VIA NEW YORK,Montreal,SSZ,Weekly,26,140,140
BRAZIL,SANTOS VIA NEW YORK,Toronto,SSZ,Weekly,26,140,140
BRAZIL,VITorontoIA VIA MIAMI/SANTOS,Vancouver,VIX,Weekly,20,305,305
BRAZIL,VITorontoIA VIA NEW YORK/SANTOS,Montreal,VIX,Weekly,26,190,190
BRAZIL,VITorontoIA VIA NEW YORK/SANTOS,Toronto,VIX,Weekly,26,190,190
BRUNEI,MUARA VIA SINGAPORE,Montreal,MUA,Weekly,39,175,175
BRUNEI,MUARA VIA SINGAPORE,Toronto,MUA,Weekly,39,175,175
BRUNEI,MUARA VIA SINGAPORE,Vancouver,MUA,Weekly,39,145,145
BULGARIA,SOFIA VIA ANTWERP,Montreal,SOF,Weekly,20,224.5,324.5
BULGARIA,SOFIA VIA ANTWERP,Toronto,SOF,Weekly,20,229.5,329.5
BULGARIA,SOFIA VIA ANTWERP,Vancouver,SOF,Weekly,20,269.5,269.5
BURKINA FASO,OUAGADOUGOU VIA ANTWERP,Montreal,OUA,Weekly,54,549.5,549.5
BURKINA FASO,OUAGADOUGOU VIA ANTWERP,Toronto,OUA,Weekly,54,554.5,554.5
BURKINA FASO,OUAGADOUGOU VIA ANTWERP,Vancouver,OUA,Weekly,54,614.5,614.5
BURUNDI,BUJUMBURA VIA ANTWERP,Montreal,BJM,Monthly,74,944.5,944.5
BURUNDI,BUJUMBURA VIA ANTWERP,Toronto,BJM,Monthly,74,949.5,949.5
BURUNDI,BUJUMBURA VIA ANTWERP,Vancouver,BJM,Monthly,74,999.5,999.5
CAMBODIA (KAMPUCHEA),KOMPONG SOM (SIHANOUKVILLE) VIA SING,Montreal,KOS,Weekly,42,200,200
CAMBODIA (KAMPUCHEA),KOMPONG SOM (SIHANOUKVILLE) VIA SING,Toronto,KOS,Weekly,42,200,200
CAMBODIA (KAMPUCHEA),KOMPONG SOM (SIHANOUKVILLE) VIA SING,Vancouver,KOS,Weekly,32,215,215
CAMBODIA (KAMPUCHEA),PHNOM PENH VIA SINGAPORE,Montreal,PNH,Weekly,35,155,155
