Destination Country,Destination City/Port,"ORIGIN                       (Port of Loading)          3 Only -        Toronto, Montreal, Vancouver",DESTINATION                (Port of Unloading)   Various,Sailing Frequency,Transit Time (Days)             (Port to Port),Ocean Freight Charges PER CBM Rate (USD),(Minimim Ocean Freight Charges/ shipment)
INDONESIA,SEMARANG VIA SINGAPORE,Toronto,SRG,Weekly,35,105,105
INDONESIA,SEMARANG VIA SINGAPORE,Vancouver,SRG,Weekly,35,100,100
INDONESIA,SURABAYA VIA SINGAPORE,Montreal,SUB,Weekly,35,100,100
INDONESIA,SURABAYA VIA SINGAPORE,Toronto,SUB,Weekly,35,100,100
INDONESIA,SURABAYA VIA SINGAPORE,Vancouver,SUB,Weekly,35,100,100
IRAQ,UMM QASR VIA DUBAI,Montreal,UQR,Weekly,32,267,267
IRAQ,UMM QASR VIA DUBAI,Toronto,UQR,Weekly,32,267,267
IRAQ,UMM QASR VIA DUBAI,Vancouver,UQR,Weekly,32,307,307
IRELAND,CORK VIA ANTWERP,Montreal,ORK,Weekly,22,214.5,214.5
IRELAND,CORK VIA ANTWERP,Toronto,ORK,Weekly,22,207,207
IRELAND,CORK VIA ANTWERP,Vancouver,ORK,Weekly,22,262,312
IRELAND,DUBLIN VIA ANTWERP,Montreal,DUB,Weekly,19,154.5,154.5
IRELAND,DUBLIN VIA ANTWERP,Toronto,DUB,Weekly,19,147,147
IRELAND,DUBLIN VIA ANTWERP,Vancouver,DUB,Weekly,19,232,232
ISRAEL,ASHDOD VIA NEW YORK,Montreal,ASH,Weekly,18,147,147
ISRAEL,ASHDOD VIA NEW YORK,Toronto,ASH,Weekly,18,162,162
ISRAEL,ASHDOD VIA NEW YORK,Vancouver,ASH,Weekly,18,202,202
ISRAEL,HAIFA VIA NEW YORK,Montreal,HFA,Weekly,21,147,147
ISRAEL,HAIFA VIA NEW YORK,Toronto,HFA,Weekly,21,147,147
ISRAEL,HAIFA VIA NEW YORK,Vancouver,HFA,Weekly,21,202,202
ITALY,GENOA,Montreal,GOA,Weekly,22,122,122
ITALY,GENOA,Toronto,GOA,Weekly,22,127,127
ITALY,GENOA,Vancouver,GOA,Weekly,22,147,147
ITALY,MILANO VIA GENOA,Montreal,MIL,Weekly,20,107,107
ITALY,MILANO VIA GENOA,Toronto,MIL,Weekly,20,112,112
ITALY,MILANO VIA GENOA,Vancouver,MIL,Weekly,20,157,157
IVORY COAST,ABIDJAN VIA ANTWERP,Montreal,ABJ,Weekly,30,324.5,324.5
IVORY COAST,ABIDJAN VIA ANTWERP,Toronto,ABJ,Weekly,30,329.5,329.5
IVORY COAST,ABIDJAN VIA ANTWERP,Vancouver,ABJ,Weekly,30,384.5,384.5
JAMAICA,KINGSTON VIA NEW YORK,Montreal,KIN,Weekly,7,180,180
JAMAICA,KINGSTON VIA NEW YORK,Toronto,KIN,Weekly,7,180,180
JAMAICA,KINGSTOWN VIA MIAMI,Vancouver,KIN,Weekly,3,265,265
JAMAICA,MONTEGO BAY VIA MIAMI,Vancouver,MBJ,Weekly,4,295,295
JAMAICA,MONTEGO BAY VIA NEW YORK,Montreal,MBJ,Daily,9,210,210
JAMAICA,MONTEGO BAY VIA NEW YORK,Toronto,MBJ,Daily,9,210,210
JAPAN,AKITA VIA PUSAN,Montreal,AXT,Weekly,24,170,170
JAPAN,AKITA VIA PUSAN,Toronto,AXT,Weekly,24,170,170
JAPAN,AKITA VIA PUSAN,Vancouver,AXT,Weekly,24,240,320
JAPAN,HAKATA VIA PUSAN,Montreal,HKT,Weekly,22,165,165
JAPAN,HAKATA VIA PUSAN,Toronto,HKT,Weekly,22,165,165
JAPAN,HAKATA VIA PUSAN,Vancouver,HKT,Weekly,22,155,230
JAPAN,HIROSHIMA VIA PUSAN,Montreal,HIJ,Weekly,23,150,150
JAPAN,HIROSHIMA VIA PUSAN,Toronto,HIJ,Weekly,23,150,150
JAPAN,HIROSHIMA VIA PUSAN,Vancouver,HIJ,Weekly,23,140,140
JAPAN,KOBE VIA PUSAN,Montreal,UKB,Weekly,23,115,115
JAPAN,KOBE VIA PUSAN,Toronto,UKB,Weekly,23,115,115
JAPAN,KOBE VIA PUSAN,Vancouver,UKB,Weekly,23,115,115
JAPAN,KUMAMOTO VIA PUSAN,Montreal,KMJ,Weekly,22,170,170
JAPAN,KUMAMOTO VIA PUSAN,Toronto,KMJ,Weekly,22,170,170
JAPAN,KUMAMOTO VIA PUSAN,Vancouver,KMJ,Weekly,22,160,160
JAPAN,MOJI VIA PUSAN,Montreal,MOJ,Weekly,22,150,150
JAPAN,MOJI VIA PUSAN,Toronto,MOJ,Weekly,22,150,150
JAPAN,MOJI VIA PUSAN,Vancouver,MOJ,Weekly,22,140,140
JAPAN,NAGOYA VIA PUSAN,Montreal,NGO,Weekly,25,120,120
JAPAN,NAGOYA VIA PUSAN,Toronto,NGO,Weekly,25,120,120
JAPAN,NAGOYA VIA PUSAN,Vancouver,NGO,Weekly,25,120,120
JAPAN,NIIGATA VIA PUSAN,Montreal,KIJ,Weekly,23,160,160
JAPAN,NIIGATA VIA PUSAN,Toronto,KIJ,Weekly,23,160,160
JAPAN,NIIGATA VIA PUSAN,Vancouver,KIJ,Weekly,23,150,150
JAPAN,OSAKA VIA PUSAN,Montreal,OSA,Weekly,23,110,110
JAPAN,OSAKA VIA PUSAN,Toronto,OSA,Weekly,23,110,110
JAPAN,OSAKA VIA PUSAN,Vancouver,OSA,Weekly,23,110,110
JAPAN,SHIMIZU VIA PUSAN,Montreal,SMZ,Weekly,24,160,160
JAPAN,SHIMIZU VIA PUSAN,Toronto,SMZ,Weekly,24,160,160
JAPAN,SHIMIZU VIA PUSAN,Vancouver,SMZ,Weekly,24,150,150
JAPAN,TOKYO ,Montreal,TYO,Weekly,12,95,95
JAPAN,TOKYO ,Toronto,TYO,Weekly,12,95,95
JAPAN,TOKYO ,Vancouver,TYO,Weekly,12,110,110
JAPAN,TOMAKOMAI VIA PUSAN,Montreal,TMK,Weekly,24,155,155
JAPAN,TOMAKOMAI VIA PUSAN,Toronto,TMK,Weekly,24,155,155
JAPAN,TOMAKOMAI VIA PUSAN,Vancouver,TMK,Weekly,24,150,200
JAPAN,TOYOMA VIA BUSAN,Montreal,TOY,Weekly,25,195,255
JAPAN,TOYOMA VIA BUSAN,Toronto,TOY,Weekly,25,195,255
JAPAN,TOYOMA VIA BUSAN,Vancouver,TOY,Weekly,25,160,210
JAPAN,YOKOHAMA VIA TOKYO,Montreal,YOK,Weekly,13,105,105
JAPAN,YOKOHAMA VIA TOKYO,Toronto,YOK,Weekly,13,105,105
JAPAN,YOKOHAMA VIA TOKYO,Vancouver,YOK,Weekly,13,110,110
JORDAN,AMMAN VIA DUBAI,Montreal,AMM,Weekly,43,222,242
JORDAN,AMMAN VIA DUBAI,Toronto,AMM,Weekly,43,227,247
JORDAN,AMMAN VIA DUBAI,Vancouver,AMM,Weekly,43,277,292
JORDAN,AQABA VIA DUBAI,Montreal,AQJ,Weekly,41,162,162
JORDAN,AQABA VIA DUBAI,Toronto,AQJ,Weekly,41,167,167
JORDAN,AQABA VIA DUBAI,Vancouver,AQJ,Weekly,41,212,212
KENYA,MOMBASA VIA DUBAI,Montreal,MBA,Weekly,38,172,172
KENYA,MOMBASA VIA DUBAI,Toronto,MBA,Weekly,38,177,177
KENYA,MOMBASA VIA DUBAI,Vancouver,MBA,Weekly,38,237,237
KENYA,NAIROBI VIA DUBAI,Montreal,NBO,Weekly,47,247,337
KENYA,NAIROBI VIA DUBAI,Toronto,NBO,Weekly,47,252,337
KENYA,NAIROBI VIA DUBAI,Vancouver,NBO,Weekly,47,352,392
KUWAIT,KUWAIT (SHUWAIKH) VIA DUBAI,Montreal,KWI,Weekly,33,157,157
KUWAIT,KUWAIT (SHUWAIKH) VIA DUBAI,Toronto,KWI,Weekly,33,157,157
KUWAIT,KUWAIT (SHUWAIKH) VIA DUBAI,Vancouver,KWI,Weekly,33,212,212
LATVIA,RIGA VIA HAMBURG,Montreal,RIX,Weekly,20,164.5,164.5
LATVIA,RIGA VIA HAMBURG,Toronto,RIX,Weekly,20,169.5,169.5
LATVIA,RIGA VIA HAMBURG,Vancouver,RIX,Weekly,20,224.5,224.5
LEBANON,BEIRUT VIA BARCELONA,Montreal,BEY,Weekly,36,184.5,199.5
LEBANON,BEIRUT VIA BARCELONA,Toronto,BEY,Weekly,36,189.5,204.5
LEBANON,BEIRUT VIA BARCELONA,Vancouver,BEY,Weekly,36,244.5,244.5
LIBERIA,MONROVIA VIA ANTWERP,Montreal,MLW,Weekly,30,404.5,404.5
LIBERIA,MONROVIA VIA ANTWERP,Toronto,MLW,Weekly,30,409.5,409.5
LIBERIA,MONROVIA VIA ANTWERP,Vancouver,MLW,Weekly,30,449.5,449.5
LIBYA,BENGHAZI VIA ANTWERP,Montreal,BEN,Weekly,36,339.5,339.5
LIBYA,BENGHAZI VIA ANTWERP,Toronto,BEN,Weekly,36,344.5,344.5
LIBYA,BENGHAZI VIA ANTWERP,Vancouver,BEN,Weekly,36,354.5,354.5
LIBYA,TRIPOLI VIA ANTWERP,Montreal,TIP,Weekly,34,289.5,289.5
LIBYA,TRIPOLI VIA ANTWERP,Toronto,TIP,Weekly,34,294.5,294.5
LIBYA,TRIPOLI VIA ANTWERP,Vancouver,TIP,Weekly,34,349.5,349.5
LITHUANIA,KLAIPEDIA VIA HAMBURG,Montreal,KLP,Weekly,28,169.5,169.5
LITHUANIA,KLAIPEDIA VIA HAMBURG,Toronto,KLP,Weekly,28,174.5,174.5
LITHUANIA,KLAIPEDIA VIA HAMBURG,Vancouver,KLP,Weekly,35,209.5,209.5
LITHUANIA,VILNIUS VIA HAMBURG,Montreal,VNO,Weekly,23,194.5,474.5
LITHUANIA,VILNIUS VIA HAMBURG,Toronto,VNO,Weekly,23,199.5,479.5
LITHUANIA,VILNIUS VIA HAMBURG,Vancouver,VNO,Weekly,23,279.5,594.5
MACEDONIA,SKOPJE VIA HAMBURG,Montreal,SKP,Weekly,23,404.5,1314.5
MACEDONIA,SKOPJE VIA HAMBURG,Toronto,SKP,Weekly,23,409.5,1319.5
MACEDONIA,SKOPJE VIA HAMBURG,Vancouver,SKP,Weekly,23,454.5,1374.5
MADAGASCAR,TAMATAVE VIA ANTWERP,Montreal,TMM,Weekly,47,287.5,287.5
MADAGASCAR,TAMATAVE VIA ANTWERP,Toronto,TMM,Weekly,47,292.5,292.5
MADAGASCAR,TAMATAVE VIA ANTWERP,Vancouver,TMM,Weekly,47,347.5,347.5
MALAWI,BLANTYRE VIA ANTWERP,Montreal,BLZ,Weekly,64,524.5,629.5
MALAWI,BLANTYRE VIA ANTWERP,Toronto,BLZ,Weekly,64,529.5,634.5
MALAWI,BLANTYRE VIA ANTWERP,Vancouver,BLZ,Weekly,64,584.5,689.5
MALAWI,LILONGWE VIA ANTWERP,Montreal,LLW,Weekly,64,587,697
MALAWI,LILONGWE VIA ANTWERP,Toronto,LLW,Weekly,64,592,702
MALAWI,LILONGWE VIA ANTWERP,Vancouver,LLW,Weekly,64,627,727
MALAYSIA,BINTULU VIA SINGAPORE,Montreal,BTU,Weekly,36,260,290
MALAYSIA,BINTULU VIA SINGAPORE,Toronto,BTU,Weekly,36,260,290
MALAYSIA,BINTULU VIA SINGAPORE,Vancouver,BTU,Weekly,36,255,305
MALAYSIA,KOTA KINABALU VIA SINGAPORE,Montreal,BKI,Weekly,35,220,220
MALAYSIA,KOTA KINABALU VIA SINGAPORE,Toronto,BKI,Weekly,35,220,220
MALAYSIA,KOTA KINABALU VIA SINGAPORE,Vancouver,BKI,Weekly,35,215,215
MALAYSIA,KUCHING VIA SINGAPORE,Montreal,KCH,Weekly,34,200,230
MALAYSIA,KUCHING VIA SINGAPORE,Toronto,KCH,Weekly,34,200,230
MALAYSIA,KUCHING VIA SINGAPORE,Vancouver,KCH,Weekly,34,195,225
MALAYSIA,LABUAN VIA SINGAPORE,Montreal,LBU,Weekly,36,220,250
MALAYSIA,LABUAN VIA SINGAPORE,Toronto,LBU,Weekly,36,220,250
MALAYSIA,LABUAN VIA SINGAPORE,Vancouver,LBU,Weekly,36,215,255
MALAYSIA,MIRI VIA SINGAPORE,Montreal,MYY,Weekly,43,455,610
MALAYSIA,MIRI VIA SINGAPORE,Toronto,MYY,Weekly,43,455,610
MALAYSIA,MIRI VIA SINGAPORE,Vancouver,MYY,Weekly,43,450,605
MALAYSIA,PASIR GUDANG VIA SINGAPORE,Montreal,PGU,Weekly,32,125,125
MALAYSIA,PASIR GUDANG VIA SINGAPORE,Toronto,PGU,Weekly,32,125,125
MALAYSIA,PASIR GUDANG VIA SINGAPORE,Vancouver,PGU,Weekly,32,125,125
MALAYSIA,PENANG VIA SINGAPORE,Montreal,PEN,Weekly,34,120,120
MALAYSIA,PENANG VIA SINGAPORE,Toronto,PEN,Weekly,34,120,120
MALAYSIA,PENANG VIA SINGAPORE,Vancouver,PEN,Weekly,34,120,120
MALAYSIA,PORT KELANG VIA BUSAN,Montreal,PKG,Weekly,32,115,115
MALAYSIA,PORT KELANG VIA BUSAN,Toronto,PKG,Weekly,32,115,115
MALAYSIA,PORT KELANG VIA BUSAN,Vancouver,PKG,Weekly,32,115,115
MALAYSIA,SANDAKAN VIA SING,Montreal,SDK,Weekly,43,295,325
MALAYSIA,SANDAKAN VIA SING,Toronto,SDK,Weekly,43,295,325
MALAYSIA,SANDAKAN VIA SING,Vancouver,SDK,Weekly,43,290,320
MALAYSIA,SIBU VIA SINGAPORE,Montreal,SBW,Weekly,35,245,275
MALAYSIA,SIBU VIA SINGAPORE,Toronto,SBW,Weekly,35,245,275
MALAYSIA,SIBU VIA SINGAPORE,Vancouver,SBW,Weekly,35,240,270
MALAYSIA,TAWAU VIA SINGAPORE,Montreal,TWU,Weekly,43,405,805
MALAYSIA,TAWAU VIA SINGAPORE,Toronto,TWU,Weekly,43,405,805
MALAYSIA,TAWAU VIA SINGAPORE,Vancouver,TWU,Weekly,43,400,780
MALDIVE ISLANDS,MALE VIA SINGAPORE,Montreal,MLE,Weekly,41,240,240
MALDIVE ISLANDS,MALE VIA SINGAPORE,Toronto,MLE,Weekly,41,240,240
MALDIVE ISLANDS,MALE VIA SINGAPORE,Vancouver,MLE,Weekly,41,235,235
MALI,BAMAKO VIA ANTWERP,Montreal,BKO,Weekly,59,469.5,469.5
MALI,BAMAKO VIA ANTWERP,Toronto,BKO,Weekly,59,474.5,474.5
MALI,BAMAKO VIA ANTWERP,Vancouver,BKO,Weekly,59,524.5,594.5
MALTA,LA VALETTA VIA BARCELONA,Montreal,MLA,Weekly,33,184.5,184.5
MALTA,LA VALETTA VIA BARCELONA,Toronto,MLA,Weekly,33,189.5,189.5
MALTA,LA VALETTA VIA BARCELONA,Vancouver,MLA,Weekly,33,234.5,234.5
MARTINIQUE,FORT DE FRANCE VIA MIAMI,Montreal,FDF,Weekly,14,302,302
MARTINIQUE,FORT DE FRANCE VIA MIAMI,Toronto,FDF,Weekly,14,302,302
MARTINIQUE,FORT DE FRANCE VIA MIAMI,Vancouver,FDF,Weekly,14,352,352
MAURETANIA,NOUAKCHOTT VIA ANTWERP,Montreal,NKC,Weekly,32,344.5,344.5
MAURETANIA,NOUAKCHOTT VIA ANTWERP,Toronto,NKC,Weekly,32,349.5,349.5
MAURETANIA,NOUAKCHOTT VIA ANTWERP,Vancouver,NKC,Weekly,32,394.5,394.5
MAURITIUS,PORT LOUIS VIA SINGAPORE,Montreal,PLU,Weekly,39,180,180
MAURITIUS,PORT LOUIS VIA SINGAPORE,Toronto,PLU,Weekly,39,180,180
MAURITIUS,PORT LOUIS VIA SINGAPORE,Vancouver,PLU,Weekly,39,220,220
MEXICO,MEXICO CITY VIA VERACRUZ / MIAMI,Montreal,MEX,Weekly,7,260,260
MEXICO,MEXICO CITY VIA VERACRUZ / MIAMI,Toronto,MEX,Weekly,7,260,260
MEXICO,MEXICO CITY VIA VERACRUZ / MIAMI,Vancouver,MEX,Weekly,7,315,315
MEXICO,VERACRUZ VIA MIAMI,Montreal,VER,Weekly,4,250,250
MEXICO,VERACRUZ VIA MIAMI,Toronto,VER,Weekly,4,250,250
MEXICO,VERACRUZ VIA MIAMI,Vancouver,VER,Weekly,4,295,295
MONGOLIA,ULAN BAToronto VIA HONG KONG,Montreal,ULN,Weekly,45,340,660
MONGOLIA,ULAN BAToronto VIA HONG KONG,Toronto,ULN,Weekly,45,340,660
MONGOLIA,ULAN BAToronto VIA HONG KONG,Vancouver,ULN,Weekly,45,340,660
MONTSERRAT,PLYMOUTH VIA MIAMI,Montreal,MNI,Weekly,10,395,395
MONTSERRAT,PLYMOUTH VIA MIAMI,Toronto,MNI,Weekly,10,395,395
MONTSERRAT,PLYMOUTH VIA MIAMI,Vancouver,MNI,Weekly,10,460,460
MOROCCO,CASABLANCA VIA BARCELONA,Montreal,CAS,Weekly,31,184.5,184.5
MOROCCO,CASABLANCA VIA BARCELONA,Toronto,CAS,Weekly,31,189.5,189.5
MOROCCO,CASABLANCA VIA BARCELONA,Vancouver,CAS,Weekly,31,234.5,234.5
MOZAMBIQUE,MAPUTO VIA ANTWERP,Montreal,MPM,Weekly,39,284.5,284.5
MOZAMBIQUE,MAPUTO VIA ANTWERP,Toronto,MPM,Weekly,39,289.5,289.5
MOZAMBIQUE,MAPUTO VIA ANTWERP,Vancouver,MPM,Weekly,39,349.5,349.5
NAMIBIA,WALVIS BAY VIA ANTWERP,Montreal,WVB,Weekly,30,259.5,259.5
NAMIBIA,WALVIS BAY VIA ANTWERP,Toronto,WVB,Weekly,30,264.5,264.5
NAMIBIA,WALVIS BAY VIA ANTWERP,Vancouver,WVB,Weekly,30,324.5,324.5
NAMIBIA,WINDHOEK VIA ANTWERP /WALVIS BAY,Montreal,WDH,Weekly,40,409.5,409.5
NAMIBIA,WINDHOEK VIA ANTWERP /WALVIS BAY,Toronto,WDH,Weekly,40,414.5,414.5
NAMIBIA,WINDHOEK VIA ANTWERP /WALVIS BAY,Vancouver,WDH,Weekly,40,454.5,454.5
NEVIS,"CHARLESTOWN, NEVIS VIA MIAMI",Montreal,NEV,Weekly,6,380,480
NEVIS,"CHARLESTOWN, NEVIS VIA MIAMI",Toronto,NEV,Weekly,6,380,480
NEVIS,"CHARLESTOWN, NEVIS VIA MIAMI",Vancouver,NEV,Weekly,6,420,530
NEW CALEDONIA,NOUMEA VIA AUCKLAND,Montreal,NOU,Bi Weekly,38,295,295
NEW CALEDONIA,NOUMEA VIA AUCKLAND,Toronto,NOU,Bi Weekly,38,295,295
NEW CALEDONIA,NOUMEA VIA AUCKLAND,Vancouver,NOU,Bi Weekly,38,305,305
NEW CALEDONIA,NOUMEA VIA SINGAPORE/AUCKLAND,Montreal,NOU,Weekly,53,285,285
NEW CALEDONIA,NOUMEA VIA SINGAPORE/AUCKLAND,Toronto,NOU,Weekly,53,300,300
NEW CALEDONIA,NOUMEA VIA SINGAPORE/AUCKLAND,Vancouver,NOU,Weekly,53,280,280
NEW ZEALAND,AUCKLAND,Montreal,AKL,Bi Weekly,19,190,190
NEW ZEALAND,AUCKLAND,Toronto,AKL,Bi Weekly,19,190,190
NEW ZEALAND,AUCKLAND,Vancouver,AKL,Bi Weekly,19,210,210
NEW ZEALAND,AUCKLAND VIA SINGAPORE,Montreal,AKL,Weekly,40,150,150
NEW ZEALAND,AUCKLAND VIA SINGAPORE,Toronto,AKL,Weekly,40,150,150
NEW ZEALAND,AUCKLAND VIA SINGAPORE,Vancouver,AKL,Weekly,40,170,170
NEW ZEALAND,BLUFF VIA SINGAPORE,Montreal,BLU,Bi Weekly,50,320,320
NEW ZEALAND,BLUFF VIA SINGAPORE,Toronto,BLU,Bi Weekly,50,320,320
NEW ZEALAND,BLUFF VIA SINGAPORE,Vancouver,BLU,Bi Weekly,50,340,340
NEW ZEALAND,CHRISTCHURCH VIA SINGAPORE,Montreal,CHC,Weekly,47,195,195
NEW ZEALAND,CHRISTCHURCH VIA SINGAPORE,Toronto,CHC,Weekly,47,195,195
NEW ZEALAND,CHRISTCHURCH VIA SINGAPORE,Vancouver,CHC,Weekly,47,195,195
NEW ZEALAND,DUNEDIN VIA SINGAPORE,Montreal,DUD,Weekly,59,300,300
NEW ZEALAND,DUNEDIN VIA SINGAPORE,Toronto,DUD,Weekly,59,300,300
NEW ZEALAND,DUNEDIN VIA SINGAPORE,Vancouver,DUD,Weekly,57,320,320
NEW ZEALAND,WELLINGTON VIA AUCKLAND,Montreal,WLG,Bi Weekly,26,215,215
NEW ZEALAND,WELLINGTON VIA AUCKLAND,Toronto,WLG,Bi Weekly,26,215,215
NEW ZEALAND,WELLINGTON VIA AUCKLAND,Vancouver,WLG,Bi Weekly,26,235,325
NEW ZEALAND,WELLINGTON VIA SINGAPORE,Montreal,WLG,Weekly,38,195,195
NEW ZEALAND,WELLINGTON VIA SINGAPORE,Toronto,WLG,Weekly,38,205,205
NEW ZEALAND,WELLINGTON VIA SINGAPORE,Vancouver,WLG,Weekly,38,190,190
NICARAGUA,MANAGUA VIA MIAMI,Montreal,MGA,Weekly,8,215,215
NICARAGUA,MANAGUA VIA MIAMI,Toronto,MGA,Weekly,8,215,215
NICARAGUA,MANAGUA VIA MIAMI,Vancouver,MGA,Weekly,8,270,270
NIGER,NIAMEY VIA ANTWERP,Montreal,NIM,Weekly,49,869.5,869.5
NIGER,NIAMEY VIA ANTWERP,Toronto,NIM,Weekly,49,874.5,874.5
NIGER,NIAMEY VIA ANTWERP,Vancouver,NIM,Weekly,49,924.5,924.5
NIGERIA,LAGOS VIA ANTWERP,Montreal,LOS,Weekly,30,279.5,279.5
NIGERIA,LAGOS VIA ANTWERP,Toronto,LOS,Weekly,30,284.5,284.5
NIGERIA,LAGOS VIA ANTWERP,Vancouver,LOS,Weekly,30,334.5,334.5
NIGERIA,PORT HARCOURT VIA ANTWERP,Montreal,PHC,Weekly,44,349.5,349.5
NIGERIA,PORT HARCOURT VIA ANTWERP,Toronto,PHC,Weekly,44,354.5,354.5
NIGERIA,PORT HARCOURT VIA ANTWERP,Vancouver,PHC,Weekly,44,404.5,404.5
NORTHERN IRELAND,BELFAST VIA ANTWERP,Montreal,BEL,Weekly,19,189.5,209.5
NORTHERN IRELAND,BELFAST VIA ANTWERP,Toronto,BEL,Weekly,19,194.5,214.5
NORTHERN IRELAND,BELFAST VIA ANTWERP,Vancouver,BEL,Weekly,19,234.5,254.5
NORTHERN MARIANA ISLANDS,SAIPAN VIA HONG KONG,Montreal,SPN,Weekly,47,310,310
NORTHERN MARIANA ISLANDS,SAIPAN VIA HONG KONG,Toronto,SPN,Weekly,47,310,310
NORTHERN MARIANA ISLANDS,SAIPAN VIA HONG KONG,Vancouver,SPN,Weekly,47,305,305
NORWAY,BERGEN VIA GOTHENBURG,Montreal,BGO,Weekly,26,189.5,189.5
NORWAY,BERGEN VIA GOTHENBURG,Toronto,BGO,Weekly,26,179.5,179.5
NORWAY,BERGEN VIA GOTHENBURG,Vancouver,BGO,Weekly,26,229.5,229.5
NORWAY,KRISTIANSAND VIA GOTHENBURG,Montreal,KRS,Weekly,26,174.5,174.5
NORWAY,KRISTIANSAND VIA GOTHENBURG,Toronto,KRS,Weekly,26,179.5,179.5
NORWAY,KRISTIANSAND VIA GOTHENBURG,Vancouver,KRS,Weekly,26,229.5,229.5
NORWAY,LARVIK VIA GOTHENBURG,Montreal,LAR,Weekly,26,224.5,224.5
NORWAY,LARVIK VIA GOTHENBURG,Toronto,LAR,Weekly,26,229.5,229.5
NORWAY,LARVIK VIA GOTHENBURG,Vancouver,LAR,Weekly,26,279.5,279.5
NORWAY,OSLO VIA GOTHENBURG,Montreal,OSL,Weekly,20,134.5,134.5
NORWAY,OSLO VIA GOTHENBURG,Toronto,OSL,Weekly,20,139.5,139.5
NORWAY,OSLO VIA GOTHENBURG,Vancouver,OSL,Weekly,30,189.5,189.5
NORWAY,STAVancouverGER VIA GOTHENBURG,Montreal,SVG,Weekly,26,154.5,154.5
NORWAY,STAVancouverGER VIA GOTHENBURG,Toronto,SVG,Weekly,26,159.5,159.5
NORWAY,STAVancouverGER VIA GOTHENBURG,Vancouver,SVG,Weekly,26,209.5,209.5
NORWAY,TRONDHEIM VIA GOTHNBURG/OSLO,Montreal,TRD,Weekly,26,309.5,409.5
NORWAY,TRONDHEIM VIA GOTHNBURG/OSLO,Toronto,TRD,Weekly,26,314.5,414.5
NORWAY,TRONDHEIM VIA GOTHNBURG/OSLO,Vancouver,TRD,Weekly,26,359.5,464.5
OMAN,MUSCAT VIA DUBAI,Montreal,MCT,Weekly,31,152,152
OMAN,MUSCAT VIA DUBAI,Toronto,MCT,Weekly,31,152,152
OMAN,MUSCAT VIA DUBAI,Vancouver,MCT,Weekly,31,202,202
OMAN,PORT SULTAN QABOOS VIA DUBAI,Montreal,MNQ,Weekly,31,152,152
OMAN,PORT SULTAN QABOOS VIA DUBAI,Toronto,MNQ,Weekly,31,152,152
OMAN,PORT SULTAN QABOOS VIA DUBAI,Vancouver,MNQ,Weekly,31,212,212
PAKISTAN,KARACHI VIA DUBAI,Montreal,KHI,Weekly,32,137,137
PAKISTAN,KARACHI VIA DUBAI,Toronto,KHI,Weekly,32,137,137
PAKISTAN,KARACHI VIA SINGAPORE,Vancouver,KHI,Weekly,41,180,180
PAKISTAN,LAHORE VIA DUBAI,Montreal,LHE,Weekly,48,302,402
PAKISTAN,LAHORE VIA DUBAI,Toronto,LHE,Weekly,48,302,402
PAKISTAN,LAHORE VIA DUBAI,Vancouver,LHE,Weekly,55,322,422
PAKISTAN,PORT QASIM VIA DUBAI,Montreal,PQS,Weekly,36,202,202
PAKISTAN,PORT QASIM VIA DUBAI,Toronto,PQS,Weekly,36,202,202
PAKISTAN,PORT QASIM VIA DUBAI,Vancouver,PQS,Weekly,36,262,262
PANAMA,PANAMA CITY VIA MIAMI,Montreal,PTY,Weekly,6,175,175
PANAMA,PANAMA CITY VIA MIAMI,Toronto,PTY,Weekly,6,175,175
PANAMA,PANAMA CITY VIA MIAMI,Vancouver,PTY,Weekly,6,245,245
PAPUA NEW GUINEA,ALOTAU VIA SINGAPORE,Montreal,ALO,Weekly,60,415,415
PAPUA NEW GUINEA,ALOTAU VIA SINGAPORE,Toronto,ALO,Weekly,60,415,415
PAPUA NEW GUINEA,ALOTAU VIA SINGAPORE,Vancouver,ALO,Weekly,60,380,380
PAPUA NEW GUINEA,LAE VIA SINGAPORE,Montreal,LAE,Weekly,44,270,270
PAPUA NEW GUINEA,LAE VIA SINGAPORE,Toronto,LAE,Weekly,44,270,270
PAPUA NEW GUINEA,LAE VIA SINGAPORE,Vancouver,LAE,Weekly,44,265,265
PAPUA NEW GUINEA,MADANG VIA SINGAPORE / LAE,Montreal,MAG,Weekly,60,565,565
PAPUA NEW GUINEA,MADANG VIA SINGAPORE / LAE,Toronto,MAG,Weekly,60,565,565
PAPUA NEW GUINEA,MADANG VIA SINGAPORE / LAE,Vancouver,MAG,Weekly,60,560,560
PAPUA NEW GUINEA,PORT MORESBY VIA SINGAPORE,Montreal,POM,Weekly,47,315,315
PAPUA NEW GUINEA,PORT MORESBY VIA SINGAPORE,Toronto,POM,Weekly,47,315,315
PAPUA NEW GUINEA,PORT MORESBY VIA SINGAPORE,Vancouver,POM,Weekly,47,345,345
PAPUA NEW GUINEA,RABAUL VIA SINGAPORE,Montreal,RAB,Weekly,60,575,575
PAPUA NEW GUINEA,RABAUL VIA SINGAPORE,Toronto,RAB,Weekly,69,580,580
PAPUA NEW GUINEA,RABAUL VIA SINGAPORE,Vancouver,RAB,Weekly,67,570,570
PAPUA NEW GUINEA,WEWAK VIA SINGAPORE,Montreal,WWK,Weekly,60,850,960
PAPUA NEW GUINEA,WEWAK VIA SINGAPORE,Toronto,WWK,Weekly,60,850,960
